PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
₹ 5.20 Lakh,Sedan,"60,000 Kms",2nd Owner,2016,17.0,Petrol,2016,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.70 Lakh,Hatchback,"40,000 Kms",2nd Owner,2018,23.84,Petrol,2018,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6 Lakh,SUV,"50,000 Kms",1st Owner,2016,19.64,Diesel,2016,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 18.50 Lakh,SUV,"1,00,000 Kms",2nd Owner,2016,15.17,Diesel,2016,Third Party insurance,7-Speed S-Tronic,Automatic,5 Seats,BANGALORE
₹ 4.60 Lakh,Hatchback,"20,000 Kms",2nd Owner,2017,140.0,Electric,2017,Third Party insurance,Direct Drive,Automatic,4 Seats,BANGALORE
"₹ 75,000 ",Sedan,"1,10,000 Kms",2nd Owner,2003,13.8,Petrol,2003,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.49 Lakh,Hatchback,"63,359 Kms",2nd Owner,2017,21.4,Petrol,2017,Third Party,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.57 Lakh,Hatchback,"1,25,227 Kms",2nd Owner,2017,22.54,Diesel,2017,Zero Dep,6 Speed,Manual,5 Seats,BANGALORE
₹ 4.20 Lakh,Hatchback,"1,00,000 Kms",2nd Owner,2012,22.07,Diesel,2012,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.29 Lakh,Hatchback,"71,884 Kms",2nd Owner,2015,25.2,Diesel,2015,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 3.22 Lakh,Hatchback,"79,059 Kms",2nd Owner,2012,19.4,Petrol,2012,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.20 Lakh,Hatchback,"80,000 Kms",2nd Owner,2016,21.4,Petrol,2016,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 4.35 Lakh,Hatchback,"69,124 Kms",1st Owner,2013,22.38,Petrol,2013,Third Party,5-Speed,Manual,5 Seats,BANGALORE
₹ 9.60 Lakh,MUV,"1,20,000 Kms",4th Owner,2012,12.99,Diesel,2012,Third Party insurance,5 Speed,Manual,8 Seats,BANGALORE
₹ 3.17 Lakh,Hatchback,"73,340 Kms",1st Owner,2010,18.5,Petrol,2010,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.74 Lakh,Hatchback,"44,268 Kms",2nd Owner,2017,18.9,Petrol,2017,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.80 Lakh,Hatchback,"10,000 Kms",1st Owner,2022,19.3,Petrol,2022,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 8 Lakh,Hatchback,"60,000 Kms",1st Owner,2018,18.7,Petrol,2018,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
