PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
420000.0,Hatchback,100000,2,2012,22.9,Diesel,2012,Third Party insurance,5,Manual,5,BANGALORE
941000.0,Sedan,26367,1,2020,20.65,Petrol,2020,Zero Dep,5,Manual,5,BANGALORE
630000.0,Sedan,76567,2,2015,14.5,Petrol,2015,Zero Dep,6,Automatic,5,BANGALORE
1275000.0,MUV,120000,2,2013,12.99,Diesel,2013,Third Party insurance,5,Manual,7,BANGALORE
525000.0,Hatchback,36459,2,2015,18.9,Petrol,2015,Comprehensive,4,Automatic,5,BANGALORE
750000.0,SUV,93725,1,2016,23.65,Diesel,2016,Comprehensive,5,Manual,5,BANGALORE
632000.0,Sedan,115599,2,2016,19.12,Petrol,2016,Comprehensive,4,Automatic,5,BANGALORE
645000.0,Sedan,43469,1,2015,22.41,Petrol,2015,Zero Dep,5,Manual,5,BANGALORE
500000.0,Sedan,70000,4,2005,13.8,Petrol,2005,Third Party insurance,5,Manual,5,BANGALORE
6795000.0,SUV,77000,2,2019,13.38,Diesel,2019,Comprehensive,8,Automatic,5,BANGALORE
850000.0,SUV,100000,1,2018,24.3,Diesel,2018,Comprehensive,5,Manual,5,BANGALORE
299000.0,Sedan,72000,1,2008,14.7,Petrol,2008,Third Party insurance,5,Manual,5,BANGALORE
2095000.0,Sedan,77000,1,2013,16.36,Diesel,2013,Comprehensive,8,Automatic,5,BANGALORE
2800000.0,SUV,87101,1,2013,12.07,Diesel,2013,Comprehensive,8,Automatic,7,BANGALORE
999000.0,Hatchback,40771,2,2021,18.24,Petrol,2021,Third Party,6,Manual,5,BANGALORE
825000.0,Hatchback,28000,1,2018,18.7,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
250000.0,Hatchback,40000,3,2008,18.9,Petrol,2008,Comprehensive,5,Manual,5,BANGALORE
1295000.0,SUV,26000,1,2020,18.15,Petrol,2020,Comprehensive,7,Automatic,5,BANGALORE
329000.0,Hatchback,76032,1,2012,18.9,Petrol,2012,Comprehensive,5,Manual,5,BANGALORE
666000.0,Sedan,113780,1,2018,21.56,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
2290000.0,Sedan,24000,1,2019,20.38,Diesel,2019,Third Party insurance,6,Automatic,5,BANGALORE
1026000.0,SUV,65812,2,2020,23.7,Diesel,2020,Third Party,6,Manual,5,BANGALORE
1700000.0,SUV,10000,1,2022,17.2,Petrol,2022,Third Party insurance,6,Automatic,5,BANGALORE
681000.0,Hatchback,39959,1,2016,21.4,Petrol,2016,Zero Dep,5,Manual,5,BANGALORE
1690000.0,SUV,10000,1,2022,14.2,Petrol,2022,Third Party insurance,6,Automatic,7,BANGALORE
318000.0,Hatchback,65484,3,2016,24.39,Petrol,2016,Third Party insurance,5,Manual,5,BANGALORE
688000.0,Hatchback,49174,1,2017,21.4,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE
1300000.0,SUV,20000,1,2022,20.08,Petrol,2022,Third Party insurance,6,Manual,5,BANGALORE
265000.0,Hatchback,50000,1,2009,20.36,Petrol,2009,Third Party insurance,5,Manual,5,BANGALORE
645000.0,Sedan,40000,2,2018,22.0,Petrol,2018,Third Party insurance,5,Automatic,5,BANGALORE
2000000.0,SUV,30000,1,2022,14.2,Petrol,2022,Third Party insurance,6,Automatic,7,BANGALORE
900000.0,Coupe,50000,3,2007,10.9,Petrol,2007,Third Party insurance,6,Automatic,5,BANGALORE
620000.0,Hatchback,80000,1,2020,21.21,Petrol,2020,Third Party insurance,5,Manual,5,BANGALORE
