price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 5.16 Lakh,SUV,"74,499 Kms",2nd Owner,2013.0,20.45 kmpl,KA03,Diesel,Oct 2013,2013,Third Party,5 speed,Manual,5 Seats,bangalore,1461 cc
₹ 7.77 Lakh,SUV,"56,211 Kms",2nd Owner,2017.0,14.8 kmpl,KA03,Petrol,Nov 2017,2017,Comprehensive,6 Speed,Automatic,5 Seats,bangalore,1497 cc
₹ 7.53 Lakh,Hatchback,"9,001 Kms",1st Owner,2019.0,18.2 kmpl,KA04,Petrol,Jul 2019,2019,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 12.26 Lakh,SUV,"65,457 Kms",2nd Owner,2017.0,16 kmpl,KA51,Diesel,May 2017,2017,Third Party insurance,6 Speed,Automatic,7 Seats,bangalore,1997 cc
₹ 7.25 Lakh,Hatchback,"23,682 Kms",1st Owner,2017.0,18.7 kmpl,KA53,Petrol,Aug 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 11.50 Lakh,Sedan,"50,000 Kms",1st Owner,2020.0,22 kmpl,KA03,Diesel,2020,2020,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1582 cc
₹ 6.29 Lakh,Hatchback,"1,34,557 Kms",2nd Owner,2015.0,25.2 kmpl,KA53,Diesel,Apr 2015,2015,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 4.47 Lakh,Sedan,"96,567 Kms",2nd Owner,2013.0,22.41 kmpl,KA53,Petrol,Jun 2013,2013,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4 Lakh,Hatchback,"1,20,000 Kms",3rd Owner,2015.0,23.1 kmpl,KA51,Petrol,2015,2015,Third Party insurance,5 Speed ,Manual,5 Seats,bangalore,998 cc
₹ 7.86 Lakh,MUV,"83,007 Kms",2nd Owner,2014.0,20.77 kmpl,KA51,Diesel,Feb 2015,2014,Comprehensive,5 Speed ,Manual,7 Seats,bangalore,1248 cc
₹ 7.45 Lakh,Hatchback,"34,000 Kms",1st Owner,2018.0,18.7 kmpl,KA02,Petrol,Jul 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 4.90 Lakh,Hatchback,"81,634 Kms",1st Owner,2014.0,18.9 kmpl,KA25,Petrol,Mar 2014,2014,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 9.42 Lakh,Sedan,"57,284 Kms",2nd Owner,2017.0,18 kmpl,KA53,Petrol,Apr 2017,2017,Comprehensive,CVT,Automatic,5 Seats,bangalore,1497 cc
₹ 6.75 Lakh,SUV,"70,000 Kms",2nd Owner,2016.0,15.63 kmpl,KA53,Petrol,2016,2016,Third Party insurance,6 Speed,Automatic,5 Seats,bangalore,1499 cc
₹ 3.30 Lakh,Hatchback,"70,000 Kms",2nd Owner,2013.0,19.4 kmpl,KA04,Petrol,2013,2013,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1198 cc
