price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 6.50 Lakh,Hatchback,"36,000 Kms",1st Owner,2017,18.9,KA05,Petrol,Aug 2017,2017,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 9.50 Lakh,MUV,"1,99,000 Kms",2nd Owner,2011,12.8,KA05,Diesel,Jun 2011,2011,Comprehensive,5 Speed,Manual,7 Seats,bangalore,2494 cc
₹ 8.46 Lakh,Sedan,"71,905 Kms",1st Owner,2018,18.0,KA01,Petrol,Feb 2018,2018,Zero Dep,CVT,Automatic,5 Seats,bangalore,1497 cc
₹ 4.24 Lakh,Hatchback,"69,748 Kms",2nd Owner,2013,22.38,KA09,Petrol,Nov 2013,2013,Comprehensive,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 2.10 Lakh,Hatchback,"44,000 Kms",1st Owner,2008,19.7,KA03,Petrol,Aug 2008,2008,Comprehensive,5 Speed,Manual,5 Seats,bangalore,796 cc
₹ 9.59 Lakh,Sedan,"17,875 Kms",2nd Owner,2021,17.1,KA42,Petrol,Feb 2021,2021,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1496 cc
₹ 8.89 Lakh,SUV,"95,678 Kms",1st Owner,2020,16.42,KA32,Petrol,Feb 2021,2020,Comprehensive,6-Speed,Manual,5 Seats,bangalore,1330 cc
₹ 8.50 Lakh,SUV,"12,003 Kms",1st Owner,2022,19.03,KA03,Petrol,2022,2022,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,999 cc
₹ 8.36 Lakh,SUV,"1,14,427 Kms",2nd Owner,2018,23.0,KA09,Diesel,May 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 6.60 Lakh,SUV,"20,000 Kms",1st Owner,2022,19.03,KA02,Petrol,2022,2022,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,999 cc
₹ 3.34 Lakh,Hatchback,"64,655 Kms",1st Owner,2012,19.4,KA05,Petrol,Aug 2012,2012,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1198 cc
₹ 5.94 Lakh,SUV,"46,456 Kms",1st Owner,2018,18.15,KA03,Petrol,Apr 2018,2018,Third Party insurance,5 Speed,Manual,6 Seats,bangalore,1198 cc
