price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
1300000,Sedan,70000,2,2010,16.07,KA01,Diesel,2010,2010,Third Party insurance,6,Automatic,5,bangalore,1995
672000,Sedan,61993,1,2015,17.4,KA04,Petrol,2015,2015,Comprehensive,5,Manual,5,bangalore,1497
1825000,SUV,57000,1,2017,16.38,KA50,Diesel,2017,2017,Comprehensive,6,Automatic,5,bangalore,1995
3500000,SUV,80000,2,2021,14.24,KA03,Diesel,2021,2021,Third Party insurance,6,Manual,7,bangalore,2755
440000,Hatchback,36359,1,2013,18.5,KA01,Petrol,2013,2013,Comprehensive,5,Manual,5,bangalore,1197
1460000,SUV,70000,2,2019,17.0,KA53,Diesel,2019,2019,Third Party insurance,6,Manual,5,bangalore,1956
2041000,SUV,7500,1,2022,18.9,KA01,Petrol,2022,2022,Comprehensive,8,Automatic,5,bangalore,1451
1033000,Sedan,30301,1,2017,17.0,KA41,Petrol,2017,2017,Comprehensive,6,Automatic,5,bangalore,1591
275000,Hatchback,66000,1,2010,20.36,KA03,Petrol,2010,2010,Comprehensive,5,Manual,5,bangalore,1197
676000,Hatchback,56010,1,2017,18.6,KA41,Petrol,2017,2017,Comprehensive,5,Manual,5,bangalore,1197
4290000,SUV,47000,1,2017,17.9,KA03,Diesel,2017,2017,Comprehensive,9,Automatic,5,bangalore,2143
650000,SUV,60000,2,2014,19.01,KA03,Diesel,2014,2014,Third Party insurance,6,Manual,5,bangalore,1461
444000,Hatchback,83829,1,2014,25.2,KA51,Diesel,2014,2014,Third Party insurance,5,Manual,5,bangalore,1248
510000,Hatchback,10000,1,2020,22.0,KA50,Petrol,2020,2020,Third Party insurance,5,Automatic,5,bangalore,999
925000,SUV,35000,2,2016,19.6,KA53,Diesel,2016,2016,Comprehensive,6,Automatic,5,bangalore,1461
1024000,Sedan,51116,2,2019,18.0,KA03,Petrol,2020,2019,Comprehensive,0,Automatic,5,bangalore,1497
500000,Sedan,80000,3,2016,21.14,KA09,Diesel,2016,2016,Third Party insurance,5,Manual,5,bangalore,1498
995000,Hatchback,40000,2,2017,17.21,KA03,Petrol,2017,2017,Third Party insurance,7,Automatic,5,bangalore,1197
935000,SUV,85565,2,2012,11.1,KA47,Petrol,2012,2012,Comprehensive,5,Automatic,5,bangalore,2354
834000,SUV,36916,1,2018,17.0,KA03,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,1497
560000,Hatchback,90000,1,2015,20.14,KA04,Diesel,2015,2015,Third Party insurance,5,Manual,5,bangalore,1498
454000,Hatchback,112795,1,2012,22.38,KA51,Petrol,2012,2012,Comprehensive,5,Manual,5,bangalore,1197
3690000,Sedan,11000,1,2021,18.9,KA04,Petrol,2021,2021,Comprehensive,7,Automatic,5,bangalore,1332
1100000,MUV,120000,2,2014,11.4,KA05,Petrol,2014,2014,Third Party insurance,5,Manual,7,bangalore,1998
462000,Hatchback,36685,2,2016,19.4,KA05,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1198
900000,SUV,120000,2,2012,11.72,KA03,Diesel,2012,2012,Third Party insurance,6,Automatic,7,bangalore,2199
7900000,Sedan,4000,1,2022,13.32,KA03,Petrol,2022,2022,Comprehensive,8,Automatic,4,bangalore,1998
843000,Hatchback,32184,2,2019,21.4,KA03,Petrol,2019,2019,Third Party,0,Automatic,5,bangalore,1197
799000,Hatchback,32279,1,2018,21.1,KA01,Petrol,2019,2018,Comprehensive,5,Manual,5,bangalore,998
